,bank_name,loan_name,repayment_type,interest_rate_type,interest_rate_min,interest_rate_max,interest_rate_avg,loan_limit,max_loan_limit,max_apartment_price_limit,loan_additional_cost,early_repayment_fee,overdue_interest_rate,subscription_method,max_loan_duration,financial_sector,government_support_type,credit_1_interest,credit_2_interest,credit_3_interest,credit_4_interest,credit_5_interest
0,우리은행,우리아파트론,원리금균등상환,고정금리,4.45,5.65,4.17,LTV 30% ~70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.26%",ㅇ 중도상환수수료×1.4%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 12%),"영업점,모집인",30.0,1.0,일반,4.45,4.75,5.050000000000000,5.3500000000000000,5.65
1,우리은행,우리WON주택대출,원리금균등상환,고정금리,3.81,4.98,4.4,최소 1억원 ~ 최대 10억원,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%   ㅇ  대출금 5천만원 이하 : 면제
  ㅇ  대출금 5천만원 초과 ~ 1억원 이하 : 7만원 (각각 3만5천원)
  ㅇ  대출금 1억원 초과 ~ 10억원 이하 : 15만원 (각각 7만5천원)
  ㅇ  대출금 10억원 초과 : 35만원 (각각 17만5천원)
ㅇ 국민주택채권 매입비용
ㅇ 대출금 상환으로 인한 채권최고액 감액 또는 근저당권 말소비용","ㅇ 중도상환 대출금액 x 중도상환해약금 요율(주1) x 잔존기간(주2) ÷ 대출기간(주3)   ㅇ - (주1) 중도상환해약금 요율 : 고정금리(1.4%)
  ㅇ - (주2) 잔존기간 : 중도상환 당일부터 대출기간 만료일 전일까지의 일 수
  ㅇ - (주3) 대출기간 : 대출기간이 3년을 초과시 3년째 되는 날을 대출기간 만료일로 간주
ㅇ * 단, 최초 취급일 기준으로 연마다 대출원금의 10%범위 내에서 중도상환해약금 부담없이 자유롭게 상환 가능합니다.
ㅇ * 대출 취급일로부터 3년 이상 경과하였거나, 대출 만기일이 3개월 이내인 경우 면제됩니다.",적용금리+3% (최고연체이자율: 12%),모바일,40.0,1.0,일반,3.81,4.1025,4.3950000000000000,4.6875,4.98
2,SC제일은행,주택담보대출,원리금균등상환,고정금리,4.88,5.53,4.04,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
ㅇ 국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
ㅇ 화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","ㅇ 조기상환수수료×1.2%×(3년-대출경과일수)÷3년(일수) ㅇ 매년 대출잔액의 10% 까지 중도상환수수료 면제",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.88,5.0425,5.205,5.3675,5.53
3,IM뱅크,장기모기지론(구입),원리금균등상환,고정금리,4.51,5.61,3.6,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,4.51,4.785,5.0600000000000000,5.335,5.61
4,IM뱅크,HYBRID 모기지론(구입),원리금균등상환,고정금리,4.21,5.31,3.38,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,4.21,4.485000000000000,4.76,5.035,5.31
5,IM뱅크,IM주택담보대출(구입),원리금균등상환,고정금리,4.41,5.31,3.5,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),스마트폰,50.0,1.0,일반,4.41,4.635,4.860000000000000,5.085,5.31
6,BNK부산은행,BNK행복스케치 모기지론,원리금균등상환,고정금리,4.96,5.56,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.96,5.110000000000000,5.26,5.41,5.56
7,BNK부산은행,BNK357금리안심모기지론,원리금균등상환,고정금리,4.26,4.76,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.50% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.26,4.385,4.51,4.635,4.76
8,BNK부산은행,BNK금리상한 모기지론,원리금균등상환,고정금리,4.21,5.51,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.21,4.535,4.860000000000000,5.185,5.51
9,광주은행,광주은행아파트담보대출,원리금균등상환,고정금리,4.97,5.97,4.64,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 50%                                     ㅇ 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등","ㅇ 중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                               ㅇ ※ 고정금리대출 : 1.5%",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.97,5.22,5.47,5.72,5.97
